data_type,material_type,year,month,type,month_current,month_prior_year,ytd_current,ytd_prior_year
Pounds of Materials Used,Grain Products,2010,6,Wheat and wheat products,2896874,1966215,13352789,9545902
Pounds of Materials Used,Total Grain products,2010,6,Total Grain products,522137378,518043738,2937014489,3044139482
Pounds of Materials Used,Non-Grain Products,2010,6,Sugar and syrups,67266337,69563483,371457781,423322455
Pounds of Materials Used,Non-Grain Products,2010,6,Hops (dry),10418215,6854083,45346088,32359017
Pounds of Materials Used,Non-Grain Products,2010,6,Hops (used as extracts),355258,381321,2068914,2273531
Pounds of Materials Used,Non-Grain Products,2010,6,Other,12877498,6216613,66854889,28284401
Pounds of Materials Used,Total Non-Grain products,2010,6,Total Non-Grain products,90917308,83015500,485727672,486239404
Pounds of Materials Used,Total Used,2010,6,Total Used,613054686,601059238,3422742161,3530378886
Pounds of Materials Used,Grain Products,2010,7,Malt and malt products,384726834,382672919,2541632782,2662446464
Pounds of Materials Used,Grain Products,2010,7,Corn and corn products,58694301,68510353,415647499,450993766
Pounds of Materials Used,Grain Products,2010,7,Rice and rice products,68031711,63277242,438778557,445884529
Pounds of Materials Used,Grain Products,2010,7,Barley and barley products,5224206,4185235,44518051,33131330
Pounds of Materials Used,Grain Products,2010,7,Wheat and wheat products,1628102,1475523,14982132,11212754
Pounds of Materials Used,Total Grain products,2010,7,Total Grain products,518305154,520121272,3455559021,3603668843
Pounds of Materials Used,Non-Grain Products,2010,7,Sugar and syrups,76584550,64776817,448042331,488127572
Pounds of Materials Used,Non-Grain Products,2010,7,Hops (dry),8297261,7309199,53664131,39704504
Pounds of Materials Used,Non-Grain Products,2010,7,Hops (used as extracts),369505,359130,2438419,2632661
Pounds of Materials Used,Non-Grain Products,2010,7,Other,13378852,13368693,80233741,54137202
Pounds of Materials Used,Total Non-Grain products,2010,7,Total Non-Grain products,98630168,85813839,584378622,584601939
Pounds of Materials Used,Total Used,2010,7,Total Used,616935322,605935111,4039937643,4188270782
Pounds of Materials Used,Grain Products,2010,8,Malt and malt products,358726926,362521445,2900309187,3024967909
Pounds of Materials Used,Grain Products,2010,8,Corn and corn products,60424525,57684547,476073574,508678313
Pounds of Materials Used,Grain Products,2010,8,Rice and rice products,63192375,61417028,501970932,507301557
Pounds of Materials Used,Grain Products,2010,8,Barley and barley products,5276045,3789027,49971697,36920357
Pounds of Materials Used,Grain Products,2010,8,Wheat and wheat products,1379102,1298648,16376834,12511402
Pounds of Materials Used,Total Grain products,2010,8,Total Grain products,488998973,486710695,3944702224,4090379538
Pounds of Materials Used,Non-Grain Products,2010,8,Sugar and syrups,75815015,61354833,523858114,549482405
Pounds of Materials Used,Non-Grain Products,2010,8,Hops (dry),7272871,5393471,60938386,45097975
Pounds of Materials Used,Non-Grain Products,2010,8,Hops (used as extracts),718808,322875,3157284,2955536
Pounds of Materials Used,Non-Grain Products,2010,8,Other,9572674,10315854,89808240,64453056
Pounds of Materials Used,Total Non-Grain products,2010,8,Total Non-Grain products,93379368,77387033,677762024,661988972
Pounds of Materials Used,Total Used,2010,8,Total Used,582378341,564097728,4622464248,4752368510
Pounds of Materials Used,Grain Products,2010,9,Malt and malt products,329671455,370369895,3230062247,3396959380
Pounds of Materials Used,Grain Products,2010,9,Corn and corn products,77399155,54632420,553472829,557256127
Pounds of Materials Used,Grain Products,2010,9,Rice and rice products,54884345,57686245,556857888,565528750
Pounds of Materials Used,Grain Products,2010,9,Barley and barley products,14107767,8106300,64085240,45463026
Pounds of Materials Used,Grain Products,2010,9,Wheat and wheat products,2150923,1934968,18530387,14532590
Pounds of Materials Used,Total Grain products,2010,9,Total Grain products,478213645,492729828,4423008591,4579739873
Pounds of Materials Used,Non-Grain Products,2010,9,Sugar and syrups,69053125,50025197,592912039,599584438
Pounds of Materials Used,Non-Grain Products,2010,9,Hops (dry),6437916,5216389,67378784,51892616
Pounds of Materials Used,Non-Grain Products,2010,9,Hops (used as extracts),300116,305344,3457400,3264706
Pounds of Materials Used,Non-Grain Products,2010,9,Other,9180751,11250446,98989156,75834659
Pounds of Materials Used,Total Non-Grain products,2010,9,Total Non-Grain products,84971908,66797376,762737379,730576419
Pounds of Materials Used,Total Used,2010,9,Total Used,563185553,559527204,5185745970,5310316292
Pounds of Materials Used,Grain Products,2010,10,Malt and malt products,333230020,333286901,3563292267,3731548182
Pounds of Materials Used,Grain Products,2010,10,Corn and corn products,51427974,55590153,604900803,612846280
Pounds of Materials Used,Grain Products,2010,10,Rice and rice products,55450803,55167784,612308691,620696534
